FIPS,COUNT,TOT_POP,CAPITA
17121,53,38894,0.001362678
20099,29,21284,0.0013625258
40085,13,9558,0.0013601172
39065,43,31627,0.0013595978
30103,1,736,0.0013586957
51071,23,16928,0.0013586957
42115,58,42696,0.0013584411
48133,25,18421,0.0013571467
39161,39,28744,0.0013568049
27107,9,6634,0.0013566476
18119,29,21380,0.0013564079
39059,54,39817,0.0013562046
51005,22,16230,0.0013555145
30015,8,5904,0.0013550136
48349,65,47979,0.0013547594
26083,3,2215,0.0013544018
31051,8,5918,0.001351808
21137,33,24461,0.0013490863
46043,4,2970,0.0013468013
17175,8,5946,0.0013454423
27149,13,9663,0.0013453379
45087,38,28252,0.0013450375
42033,109,81184,0.0013426291
19121,21,15654,0.0013415102
27165,15,11187,0.001340842
47017,38,28390,0.0013384995
48225,31,23161,0.0013384569
16079,17,12702,0.0013383719
20103,104,77739,0.0013378099
19019,28,20942,0.0013370261
55019,46,34435,0.0013358502
17157,44,32956,0.0013351135
39031,49,36779,0.001332282
19195,10,7519,0.0013299641
1013,27,20307,0.0013295908
55107,19,14316,0.0013271864
51135,21,15830,0.0013265951
39097,57,43053,0.0013239496
1005,36,27201,0.0013234808
31017,4,3023,0.0013231889
28017,23,17416,0.0013206247
21007,11,8333,0.0013200528
26059,61,46229,0.0013195181
38087,1,758,0.0013192612
40049,36,27297,0.0013188262
26153,11,8343,0.0013184706
48087,4,3036,0.0013175231
40099,18,13663,0.0013174266
23015,45,34180,0.0013165594
5111,32,24307,0.0013164932
36015,117,88911,0.0013159227
31007,1,760,0.0013157895
21033,17,12935,0.0013142636
40153,27,20548,0.0013139965
36023,65,49474,0.0013138214
13167,13,9897,0.0013135294
54089,18,13737,0.0013103298
18181,32,24426,0.0013100794
48109,3,2290,0.0013100437
1035,17,12981,0.0013096063
31113,1,765,0.0013071895
13001,24,18368,0.0013066202
46093,34,26052,0.0013050821
48457,28,21458,0.0013048746
48089,27,20696,0.0013045999
42053,10,7667,0.0013042911
19037,16,12276,0.0013033561
51590,56,42996,0.0013024467
17095,68,52247,0.0013015101
51063,20,15390,0.0012995452
55075,54,41563,0.0012992325
17001,87,67197,0.0012947007
54087,19,14684,0.0012939254
21203,22,17006,0.0012936611
1059,41,31761,0.0012908913
17109,42,32537,0.0012908381
48365,31,24020,0.0012905912
32009,1,775,0.0012903226
51017,6,4652,0.0012897678
32021,6,4653,0.0012894907
18175,36,27921,0.0012893521
18129,33,25599,0.0012891129
40035,19,14748,0.0012883103
36107,65,50478,0.0012876897
18123,25,19462,0.0012845545
31177,26,20252,0.0012838238
17135,38,29620,0.0012829169
28013,19,14843,0.0012800647
26151,54,42268,0.0012775622
1105,13,10181,0.0012768883
39091,58,45474,0.0012754541
46079,15,11771,0.0012743182
31111,46,36099,0.0012742735
42121,69,54272,0.0012713738
28061,21,16523,0.0012709556
54049,72,56678,0.0012703342
13105,25,19684,0.0012700671
54023,15,11816,0.0012694651
21229,15,11833,0.0012676413
17029,68,53655,0.0012673563
18031,33,26042,0.0012671838
39039,49,38677,0.0012669028
20087,24,18945,0.001266825
26119,12,9476,0.0012663571
55135,66,52131,0.0012660413
48435,5,3950,0.0012658228
17045,23,18191,0.0012643615
47151,28,22173,0.0012627971
27127,20,15847,0.0012620685
30017,15,11888,0.0012617766
5065,17,13474,0.0012616892
38025,5,3967,0.0012603983
26109,30,23815,0.0012597103
19139,54,42879,0.0012593577
48315,13,10324,0.0012592019
28041,18,14311,0.0012577737
21237,9,7164,0.0012562814
19033,55,43788,0.0012560519
39063,95,75671,0.0012554347
13301,7,5578,0.0012549301
19089,12,9563,0.0012548363
19171,22,17536,0.001254562
21213,22,17538,0.001254419
5003,27,21524,0.0012544137
21051,27,21556,0.0012525515
42083,54,43127,0.0012521158
50001,46,36745,0.001251871
51730,40,31973,0.0012510556
17141,66,52848,0.0012488647
29109,48,38467,0.0012478228
40101,88,70596,0.0012465295
51103,14,11236,0.001245995
21043,34,27348,0.0012432353
21065,18,14493,0.0012419789
29207,37,29795,0.0012418191
40115,40,32236,0.0012408487
20139,20,16142,0.0012390038
39021,49,39565,0.0012384683
1039,47,37955,0.0012383085
21087,14,11315,0.0012372956
21003,25,20210,0.0012370114
47013,50,40420,0.0012370114
8063,10,8094,0.0012354831
5075,21,17012,0.0012344228
13037,8,6504,0.0012300123
41023,9,7317,0.0012300123
55121,36,29297,0.0012287948
5011,14,11397,0.0012283934
19189,13,10600,0.0012264151
42037,82,66887,0.0012259482
54097,30,24477,0.0012256404
48211,5,4080,0.0012254902
30027,14,11435,0.0012243113
17145,27,22058,0.0012240457
19127,50,40857,0.0012237805
27125,5,4087,0.0012233912
48159,13,10640,0.0012218045
39119,105,85950,0.0012216405
36003,59,48357,0.0012200922
48031,13,10655,0.0012200845
27099,48,39372,0.0012191405
18117,24,19690,0.0012188928
55091,9,7390,0.001217862
29127,35,28745,0.0012176031
13109,13,10689,0.0012162036
29011,15,12337,0.0012158547
20111,41,33748,0.0012148868
42023,6,4939,0.0012148208
51580,7,5771,0.0012129614
42075,164,135251,0.0012125604
55061,25,20624,0.00121218
21225,18,14850,0.0012121212
27071,16,13208,0.001211387
40111,48,39625,0.0012113565
29181,17,14036,0.0012111713
42031,48,39646,0.0012107148
47171,22,18235,0.0012064711
22059,18,14927,0.0012058686
21101,56,46513,0.0012039645
13149,14,11633,0.0012034729
27081,7,5818,0.0012031626
54069,53,44075,0.0012024957
50015,30,24958,0.0012020194
20159,12,9985,0.0012018027
39037,63,52507,0.00119984
29195,28,23339,0.0011997086
40073,18,15005,0.0011996001
37095,7,5859,0.0011947431
18001,41,34365,0.0011930743
55007,18,15099,0.0011921319
30037,1,839,0.0011918951
17137,42,35272,0.0011907462
13265,2,1680,0.0011904762
37005,13,10927,0.0011897136
17155,7,5886,0.0011892627
16087,12,10099,0.0011882365
25011,85,71540,0.0011881465
27111,68,57288,0.0011869851
27049,55,46336,0.001186982
39071,51,42998,0.0011861017
29105,42,35417,0.0011858712
19101,20,16867,0.0011857473
21219,15,12651,0.001185677
5149,26,21932,0.0011854824
17035,13,10968,0.0011852662
23027,46,38820,0.0011849562
5137,15,12663,0.0011845534
33007,38,32096,0.0011839482
42099,54,45701,0.0011815934
28139,26,22025,0.0011804767
38003,13,11015,0.0011802088
32015,7,5941,0.0011782528
36043,76,64508,0.0011781484
5097,11,9340,0.0011777302
8089,22,18698,0.0011765964
18047,27,22969,0.0011754974
50017,34,28924,0.0011754944
47079,38,32341,0.0011749791
42117,50,42577,0.001174343
17069,5,4258,0.0011742602
19039,11,9370,0.0011739594
20101,2,1704,0.0011737089
46019,12,10228,0.0011732499
45069,33,28145,0.0011724996
38075,3,2559,0.0011723329
17115,129,110122,0.0011714281
48393,1,854,0.0011709602
31119,41,35031,0.0011703919
1071,62,53019,0.0011693921
18043,88,75283,0.0011689226
51013,258,221045,0.0011671832
26041,43,36884,0.0011658172
19021,24,20592,0.0011655012
17183,94,80727,0.0011644183
